
2025/02/08 (01:33:51) | ===> btop++ v.1.4.0
2025/02/08 (01:33:51) | WARNING: Failed to join _runner thread on exit!

2025/02/25 (21:08:14) | ===> btop++ v.1.4.0
2025/02/25 (21:08:14) | WARNING: Failed to join _runner thread on exit!

2025/02/25 (21:08:20) | ===> btop++ v.1.4.0
2025/02/25 (21:08:20) | WARNING: Failed to join _runner thread on exit!

2025/02/28 (01:30:52) | ===> btop++ v.1.4.0
2025/02/28 (01:30:52) | WARNING: Failed to join _runner thread on exit!

2025/02/28 (01:31:27) | ===> btop++ v.1.4.0
2025/02/28 (01:31:27) | WARNING: Failed to join _runner thread on exit!

2025/02/28 (15:56:14) | ===> btop++ v.1.4.0
2025/02/28 (15:56:14) | WARNING: Failed to join _runner thread on exit!

2025/03/26 (18:20:18) | ===> btop++ v.1.4.0
2025/03/26 (18:20:18) | WARNING: Failed to join _runner thread on exit!

2025/03/29 (03:24:27) | ===> btop++ v.1.4.0
2025/03/29 (03:24:27) | WARNING: Failed to join _runner thread on exit!

2025/03/30 (23:40:02) | ===> btop++ v.1.4.0
2025/03/30 (23:40:02) | WARNING: Failed to join _runner thread on exit!

2025/03/30 (23:41:58) | ===> btop++ v.1.4.0
2025/03/30 (23:41:58) | WARNING: Failed to join _runner thread on exit!

2025/03/30 (23:54:32) | ===> btop++ v.1.4.0
2025/03/30 (23:54:32) | WARNING: Failed to join _runner thread on exit!

2025/04/03 (19:40:22) | ===> btop++ v.1.4.0
2025/04/03 (19:40:22) | WARNING: Failed to join _runner thread on exit!

2025/04/05 (03:13:33) | ===> btop++ v.1.4.0
2025/04/05 (03:13:33) | WARNING: Failed to join _runner thread on exit!

2025/04/09 (23:48:21) | ===> btop++ v.1.4.0
2025/04/09 (23:48:21) | WARNING: Failed to join _runner thread on exit!

2025/04/09 (23:50:13) | ===> btop++ v.1.4.0
2025/04/09 (23:50:13) | WARNING: Failed to join _runner thread on exit!

2025/04/22 (01:06:28) | ===> btop++ v.1.4.0
2025/04/22 (01:06:28) | WARNING: Failed to join _runner thread on exit!

2025/04/22 (17:26:49) | ===> btop++ v.1.4.0
2025/04/22 (17:26:49) | WARNING: Failed to join _runner thread on exit!

2025/04/22 (17:31:34) | ===> btop++ v.1.4.0
2025/04/22 (17:31:34) | WARNING: Failed to join _runner thread on exit!

2025/04/22 (18:20:35) | ===> btop++ v.1.4.0
2025/04/22 (18:20:35) | WARNING: Failed to join _runner thread on exit!

2025/05/01 (13:25:47) | ===> btop++ v.1.4.0
2025/05/01 (13:25:47) | WARNING: Failed to join _runner thread on exit!

2025/05/01 (23:52:42) | ===> btop++ v.1.4.0
2025/05/01 (23:52:42) | WARNING: Failed to join _runner thread on exit!

2025/05/02 (00:16:18) | ===> btop++ v.1.4.0
2025/05/02 (00:16:18) | WARNING: Failed to join _runner thread on exit!

2025/05/06 (04:09:08) | ===> btop++ v.1.4.0
2025/05/06 (04:09:08) | WARNING: Failed to join _runner thread on exit!
